"kanji","curPron","pos","nextPron","prevPron","curIndex","lastChar","onKun","oneChar","allKanji"
"上","じょう","noun","END","u","1","KANJI","False","False","True"
"上","じょう","noun","g","START","0","KANJI","False","False","True"
"上","じょう","noun","END","i","1","KANJI","False","False","True"
"上","あ","verb","g","START","0","る","True","False","False"
"上","のぼ","verb","r","START","0","る","True","False","False"
"上","じょう","noun","s","START","0","KANJI","False","False","True"
"上","じょう","noun","j","START","0","KANJI","False","False","True"
"上","あ","verb","g","i","2","る","True","False","False"
"上","じょう","noun","e","START","0","KANJI","False","False","True"
"上","あ","noun","g","i","1","り","True","False","False"
"上","うえ","noun","END","e","1","KANJI","False","False","True"
"上","じょう","noun","r","START","0","KANJI","False","False","True"
"上","あ","verb","g","i","2","る","True","False","False"
"上","じょう","noun","i","START","0","KANJI","False","False","True"
"上","あ","noun","g","START","0","り","True","False","False"
"上","じょう","noun","k","START","0","KANJI","False","False","True"
"上","じょう","noun","k","START","0","KANJI","False","False","True"
"上","じょう","noun","END","u","1","KANJI","False","False","True"
"上","あ","expression","g","e","2","げ","True","False","False"
"上","のぼ","noun","r","START","0","り","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"上","うえ","noun","END","a","1","KANJI","False","False","True"
"上","じょう","noun","t","START","0","KANJI","False","False","True"
"上","あ","verb","g","START","0","る","True","False","False"
"上","じょう","noun","z","START","0","KANJI","False","False","True"
"上","じょう","noun","t","START","0","KANJI","False","False","True"
"上","あ","verb","g","i","2","る","True","False","False"
"上","うわ","noun","g","START","0","KANJI","False","False","True"
"上","じょう","noun","END","o","1","KANJI","False","False","True"
"上","じょう","noun","END","n","1","KANJI","False","False","True"
"上","あ","verb","g","i","1","る","True","False","False"
"上","じょう","noun","k","START","0","KANJI","False","False","True"
"上","あ","verb","g","i","2","る","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"上","あ","noun","g","i","2","り","True","False","False"
"上","あ","verb","g","i","2","る","True","False","False"
"上","じょう","noun","END","u","1","KANJI","False","False","True"
"上","あ","verb","g","i","2","る","True","False","False"
"上","じょう","noun","END","START","0","KANJI","True","True","True"
"上","じょう","noun","s","START","0","KANJI","False","False","True"
"上","うえ","noun","END","o","2","KANJI","True","False","False"
"上","あ","verb","g","i","1","る","True","False","False"
"上","うわ","verb","m","START","0","る","True","False","False"
"上","あ","noun","g","i","1","げ","True","False","False"
